ticker,week,weekly_close,weekly_return,next_week_return,lag1_return,news_count,fda_mention_count,regulatory_event_flag,week_start
MDT,2025-12-08/2025-12-14,99.14102935791016,-0.014700021624926674,-0.01241622201446091,-0.03769109208129384,0.0,0.0,0.0,2025-12-08
MDT,2025-12-15/2025-12-21,97.91007232666016,-0.01241622201446091,-0.014197473769154256,-0.014700021624926674,0.0,0.0,0.0,2025-12-15
MDT,2025-12-22/2025-12-28,96.5199966430664,-0.014197473769154256,-0.00486939087914251,-0.01241622201446091,0.0,0.0,0.0,2025-12-22
MDT,2025-12-29/2026-01-04,96.0500030517578,-0.00486939087914251,0.015408596361434324,-0.014197473769154256,0.0,0.0,0.0,2025-12-29
MDT,2026-01-05/2026-01-11,97.52999877929688,0.015408596361434324,-0.007894972343933215,-0.00486939087914251,0.0,0.0,0.0,2026-01-05
MDT,2026-01-12/2026-01-18,96.76000213623048,-0.007894972343933215,0.04257952693497091,0.015408596361434324,0.0,0.0,0.0,2026-01-12
MDT,2026-01-19/2026-01-25,100.87999725341795,0.04257952693497091,0.020618575413216877,-0.007894972343933215,1.0,0.0,0.0,2026-01-19
MDT,2026-01-26/2026-02-01,102.95999908447266,0.020618575413216877,-0.000582726875750339,0.04257952693497091,27.0,0.0,0.0,2026-01-26
MDT,2026-02-02/2026-02-08,102.9000015258789,-0.000582726875750339,-0.033139004971266095,0.020618575413216877,25.0,0.0,0.0,2026-02-02
MDT,2026-02-09/2026-02-15,99.48999786376952,-0.033139004971266095,-0.02643479053059361,-0.000582726875750339,41.0,0.0,0.0,2026-02-09
MDT,2026-02-16/2026-02-22,96.86000061035156,-0.02643479053059361,0.008259374837050304,-0.033139004971266095,46.0,0.0,0.0,2026-02-16
MDT,2026-02-23/2026-03-01,97.66000366210938,0.008259374837050304,-0.06921976124042728,-0.02643479053059361,24.0,0.0,0.0,2026-02-23
MDT,2026-03-02/2026-03-08,90.9000015258789,-0.06921976124042728,-0.041364159220173446,0.008259374837050304,34.0,0.0,0.0,2026-03-02
MRK,2025-12-01/2025-12-07,98.87491607666016,-0.04874559916499277,0.0058163235307393535,0.07231998025345732,0.0,0.0,0.0,2025-12-01
MRK,2025-12-08/2025-12-14,99.45000457763672,0.0058163235307393535,0.01649061523143147,-0.04874559916499277,0.0,0.0,0.0,2025-12-08
MRK,2025-12-15/2025-12-21,101.08999633789062,0.01649061523143147,0.05628650358624565,0.0058163235307393535,0.0,0.0,0.0,2025-12-15
MRK,2025-12-22/2025-12-28,106.77999877929688,0.05628650358624565,-0.0030904835627199034,0.01649061523143147,0.0,0.0,0.0,2025-12-22
